# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=350MeV/c            q=375MeV/c            q=400MeV/c            
#Omega  C.S.      Stat. Err.  C.S.      Stat. Err.  C.S.      Stat. Err. 
-37.5   0.000000   0.000000   0.000000   0.000000   0.000101   0.000072
-32.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.5   0.000156   0.000090   0.000095   0.000067   0.000097   0.000069
-22.5   0.000177   0.000088   0.000274   0.000112   0.000143   0.000083
-17.5   0.000672   0.000182   0.000420   0.000140   0.000236   0.000105
-12.5   0.000922   0.000261   0.000606   0.000168   0.000285   0.000131
 -7.5   0.001171   0.000237   0.001043   0.000223   0.001164   0.000238
 -2.5   0.002280   0.000336   0.001343   0.000254   0.001108   0.000231
  2.5   0.074739   0.002491   0.034652   0.001353   0.010604   0.000721
  7.5   0.312415   0.007181   0.251330   0.003973   0.199602   0.003117
 12.5   0.282028   0.004703   0.124630   0.002425   0.057353   0.001660
 17.5   0.298715   0.004106   0.180020   0.002894   0.090896   0.002085
 22.5   0.161432   0.002706   0.105189   0.002199   0.064497   0.001751
 27.5   0.171742   0.002788   0.108087   0.002216   0.075721   0.001897
 32.5   0.208343   0.003058   0.131458   0.002438   0.082306   0.001974
 37.5   0.245828   0.003313   0.154189   0.002637   0.099923   0.002172
 42.5   0.266929   0.003438   0.174941   0.002807   0.113646   0.002312
 47.5   0.286688   0.003552   0.197196   0.002977   0.122159   0.002391
 52.5   0.289972   0.003557   0.211782   0.003084   0.143260   0.002579
 57.5   0.301511   0.003610   0.224865   0.003175   0.152775   0.002654
 62.5   0.311297   0.003656   0.233284   0.003224   0.174867   0.002828
 67.5   0.319176   0.003694   0.249117   0.003321   0.179010   0.002850
 72.5   0.321222   0.003698   0.254351   0.003341   0.190470   0.002931
 77.5   0.303547   0.003584   0.251950   0.003304   0.196632   0.002967
 82.5   0.305349   0.003577   0.254941   0.003309   0.208020   0.003037
 87.5   0.283946   0.002678   0.252146   0.002712   0.207112   0.002452
 92.5   0.265392   0.002691   0.238426   0.002457   0.203693   0.002271
 97.5   0.243717   0.002475   0.231263   0.002370   0.198920   0.002232
102.5   0.221525   0.002304   0.214618   0.002267   0.195724   0.002204
107.5   0.193617   0.002160   0.196483   0.002156   0.191348   0.002171
112.5   0.169600   0.002008   0.180992   0.002067   0.177525   0.002082
117.5   0.154664   0.002869   0.160070   0.001956   0.168086   0.002024
122.5   0.129446   0.002605   0.141681   0.001887   0.155935   0.001960
127.5   0.114842   0.002437   0.135388   0.002694   0.145251   0.002864
132.5   0.098460   0.002242   0.121892   0.002544   0.132600   0.002713
137.5   0.089046   0.002117   0.103161   0.002329   0.121569   0.002580
142.5   0.077970   0.001972   0.094770   0.002224   0.114892   0.001831
147.5   0.072354   0.001893   0.079501   0.002020   0.100036   0.001704
152.5   0.065967   0.001305   0.075274   0.001490   0.086396   0.001503
157.5   0.059729   0.001293   0.066251   0.001275   0.079672   0.001425
162.5   0.054845   0.001158   0.060265   0.001210   0.071656   0.001346
167.5   0.048402   0.001077   0.052652   0.001117   0.063618   0.001269
172.5   0.043300   0.001021   0.048550   0.001086   0.056736   0.001177
177.5   0.042169   0.001013   0.043924   0.001007   0.051144   0.001108
182.5   0.040217   0.001000   0.039983   0.000961   0.046265   0.001047
187.5   0.040776   0.001144   0.038502   0.000960   0.042587   0.001005
192.5   0.039488   0.001186   0.036133   0.000953   0.041175   0.001003
197.5   0.041551   0.001378   0.037302   0.001254   0.038510   0.001021
202.5   0.041409   0.001471   0.037380   0.001181   0.035148   0.001222
207.5   0.040691   0.001489   0.033516   0.001133   0.037069   0.001213
212.5   0.043230   0.001595   0.038071   0.001243   0.035762   0.001226
217.5   0.046863   0.001744   0.040472   0.001275   0.037707   0.001249
222.5   0.051675   0.001929   0.037948   0.001234   0.036957   0.001226
227.5   0.049409   0.002055   0.041039   0.001284   0.033722   0.001158
232.5   0.051505   0.002329   0.041933   0.001308   0.036519   0.001197
237.5   0.066345   0.003125   0.044881   0.001409   0.038362   0.001226
242.5   0.070136   0.004126   0.046191   0.001608   0.036778   0.001227
247.5   -          -          0.048376   0.002261   0.039537   0.001456
252.5   -          -          -          -          0.042969   0.002293
257.5   -          -          -          -          0.033214   0.001837
262.5   -          -          -          -          -          -       
267.5   -          -          -          -          -          -       
272.5   -          -          -          -          -          -       
277.5   -          -          -          -          -          -       
282.5   -          -          -          -          -          -       
287.5   -          -          -          -          -          -       
292.5   -          -          -          -          -          -       
297.5   -          -          -          -          -          -       
302.5   -          -          -          -          -          -       
307.5   -          -          -          -          -          -       
312.5   -          -          -          -          -          -       
317.5   -          -          -          -          -          -       
322.5   -          -          -          -          -          -       
327.5   -          -          -          -          -          -       
332.5   -          -          -          -          -          -       
337.5   -          -          -          -          -          -       
342.5   -          -          -          -          -          -       
347.5   -          -          -          -          -          -       
352.5   -          -          -          -          -          -       
357.5   -          -          -          -          -          -       
