# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=575MeV/c            q=600MeV/c            q=625MeV/c            
#Omega  C.S.      Stat. Err.  C.S.      Stat. Err.  C.S.      Stat. Err. 
-37.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-17.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-12.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 -7.5   0.000640   0.000640   0.000000   0.000000   0.000000   0.000000
 -2.5   0.001372   0.000970   0.000681   0.000681   0.000760   0.000760
  2.5   0.004552   0.001721   0.002043   0.001179   0.002119   0.001224
  7.5   0.006708   0.002123   0.004984   0.001885   0.004309   0.001760
 12.5   0.010524   0.002631   0.006833   0.002163   0.003751   0.001680
 17.5   0.017213   0.003376   0.008768   0.002433   0.005589   0.001625
 22.5   0.015235   0.003178   0.008733   0.002422   0.006100   0.002003
 27.5   0.027359   0.004274   0.010744   0.002687   0.010901   0.002207
 32.5   0.019672   0.003593   0.017631   0.003459   0.007920   0.001878
 37.5   0.032084   0.004585   0.022640   0.003118   0.015528   0.002613
 42.5   0.034338   0.003737   0.016896   0.002662   0.015175   0.002611
 47.5   0.035840   0.003791   0.025187   0.003256   0.013838   0.002507
 52.5   0.050625   0.004506   0.029225   0.003484   0.027056   0.003500
 57.5   0.045767   0.004440   0.026029   0.003286   0.022339   0.003193
 62.5   0.055553   0.004714   0.034022   0.003762   0.028849   0.003586
 67.5   0.066325   0.005135   0.048190   0.004483   0.027901   0.003516
 72.5   0.069037   0.005232   0.051446   0.004631   0.039467   0.004000
 77.5   0.083947   0.005750   0.051103   0.004626   0.031665   0.003309
 82.5   0.098968   0.006228   0.057754   0.004896   0.040495   0.004057
 87.5   0.083672   0.005207   0.071669   0.004650   0.043607   0.003641
