# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=500MeV/c            q=525MeV/c            q=550MeV/c            
#Omega  C.S.      Stat. Err.  C.S.      Stat. Err.  C.S.      Stat. Err. 
-37.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.5   0.000000   0.000000   0.000028   0.000028   0.000000   0.000000
-27.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.5   0.000000   0.000000   0.000000   0.000000   -0.000118   0.000118
-17.5   0.000053   0.000038   0.000056   0.000040   0.000000   0.000000
-12.5   0.000105   0.000082   0.000028   0.000028   0.000028   0.000028
 -7.5   -0.000190   0.000158   0.000026   0.000026   0.000000   0.000000
 -2.5   0.000243   0.000103   0.000143   0.000096   0.000030   0.000030
  2.5   0.000054   0.000038   0.000136   0.000153   0.000086   0.000086
  7.5   0.000574   0.000485   0.000249   0.000231   0.000168   0.000069
 12.5   0.000388   0.001147   0.001501   0.000628   0.000413   0.000312
 17.5   0.000900   0.001432   -0.002249   0.001393   0.001187   0.001147
 22.5   0.010154   0.001238   0.005905   0.000998   0.001829   0.000769
 27.5   0.006402   0.001158   0.007444   0.001211   0.007157   0.001231
 32.5   0.004067   0.001291   0.005791   0.001205   0.007145   0.001117
 37.5   0.004570   0.001385   0.007383   0.001203   0.006933   0.001183
 42.5   0.008257   0.001445   0.007120   0.001250   0.006705   0.000908
 47.5   0.009247   0.001450   0.007337   0.001244   0.006782   0.000933
 52.5   0.012063   0.001656   0.006457   0.001423   0.005256   0.000942
 57.5   0.017904   0.001793   0.008277   0.001164   0.004679   0.000976
 62.5   0.019448   0.002071   0.011857   0.001165   0.007329   0.001029
 67.5   0.021425   0.002089   0.013238   0.001445   0.008869   0.001077
 72.5   0.030779   0.001961   0.014024   0.001828   0.009091   0.001183
 77.5   0.034005   0.002021   0.019716   0.001678   0.011961   0.001481
 82.5   0.044605   0.002193   0.018539   0.001755   0.015536   0.001527
 87.5   0.050823   0.002370   0.027401   0.001862   0.018536   0.001504
 92.5   0.060680   0.002590   0.035810   0.002022   0.020415   0.001569
 97.5   0.066621   0.002777   0.037456   0.002150   0.022442   0.001648
102.5   0.068331   0.003049   0.046434   0.002339   0.022970   0.001830
107.5   0.075663   0.003180   0.045517   0.002451   0.031295   0.001746
112.5   0.078362   0.003290   0.052030   0.002558   0.036772   0.001871
117.5   0.085932   0.003431   0.062376   0.002903   0.037701   0.001915
122.5   0.085590   0.003445   0.059830   0.002786   0.041449   0.002060
127.5   0.083435   0.003804   0.064380   0.002984   0.045891   0.002263
132.5   0.082757   0.003686   0.068949   0.003112   0.047646   0.002412
137.5   0.092476   0.003498   0.072689   0.003125   0.056170   0.002577
142.5   0.079938   0.002986   0.066118   0.003074   0.053743   0.002714
147.5   0.087630   0.003630   0.068496   0.003883   0.056091   0.002848
152.5   0.077526   0.003338   0.078913   0.003637   0.056052   0.002888
157.5   0.078425   0.003211   0.069776   0.003471   0.056716   0.002817
162.5   0.071780   0.002955   0.068477   0.003241   0.059552   0.002757
167.5   0.065263   0.002836   0.066603   0.003107   0.058817   0.003321
172.5   0.059655   0.002766   0.062575   0.002891   0.053831   0.003108
177.5   0.053976   0.002599   0.059088   0.002769   0.056763   0.002889
182.5   0.052542   0.002428   0.048419   0.002616   0.051014   0.002728
187.5   0.042263   0.002344   0.049362   0.002438   0.051714   0.002668
192.5   0.037265   0.002168   0.041118   0.002366   0.047001   0.002481
197.5   0.034699   0.002084   0.042519   0.002218   0.044176   0.002332
202.5   0.029940   0.001964   0.038519   0.002126   0.037175   0.002305
207.5   0.023584   0.001862   0.030808   0.002048   0.031489   0.002180
212.5   0.026638   0.001797   0.030423   0.001926   0.033619   0.002036
217.5   0.023784   0.001758   0.020629   0.001865   0.032187   0.001957
222.5   0.022634   0.001986   0.025335   0.001822   0.029178   0.001930
227.5   0.024799   0.001830   0.023250   0.001832   0.025066   0.001855
232.5   0.021451   0.002205   0.023876   0.001834   0.022583   0.001857
237.5   0.016782   0.002239   0.020885   0.002430   0.021498   0.002570
242.5   0.015671   0.002128   0.020370   0.002246   0.019992   0.002322
247.5   0.015828   0.002060   0.016217   0.002142   0.019723   0.002415
252.5   0.014095   0.001989   0.019474   0.002178   0.020964   0.002206
257.5   0.015379   0.002020   0.017446   0.002131   0.015107   0.002193
262.5   0.015947   0.002078   0.018715   0.001956   0.012259   0.002209
267.5   0.013762   0.002054   0.019331   0.001913   0.014889   0.002165
272.5   0.018974   0.003750   0.012208   0.002046   0.012504   0.002131
277.5   0.015828   0.003607   0.011614   0.002189   0.013389   0.002104
282.5   0.016400   0.002896   0.014693   0.002259   0.016446   0.002216
287.5   -          -          -          -          -          -       
292.5   -          -          -          -          -          -       
297.5   -          -          -          -          -          -       
302.5   -          -          -          -          -          -       
307.5   -          -          -          -          -          -       
312.5   -          -          -          -          -          -       
317.5   -          -          -          -          -          -       
322.5   -          -          -          -          -          -       
327.5   -          -          -          -          -          -       
332.5   -          -          -          -          -          -       
337.5   -          -          -          -          -          -       
342.5   -          -          -          -          -          -       
347.5   -          -          -          -          -          -       
352.5   -          -          -          -          -          -       
357.5   -          -          -          -          -          -       
