# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=350MeV/c            q=375MeV/c            q=400MeV/c            
#Omega  C.S.      Stat. Err.  C.S.      Stat. Err.  C.S.      Stat. Err. 
-37.5   0.000000   0.000000   0.000000   0.000000   -0.000051   0.000036
-32.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.5   -0.000078   0.000045   -0.000048   0.000034   0.000094   0.000147
-22.5   0.000014   0.000112   -0.000137   0.000056   -0.000072   0.000041
-17.5   -0.000160   0.000154   -0.000210   0.000070   0.000169   0.000174
-12.5   -0.000277   0.000184   0.000115   0.000228   0.000341   0.000226
 -7.5   -0.000213   0.000221   0.000075   0.000271   0.000063   0.000294
 -2.5   0.000178   0.000407   0.000075   0.000293   -0.000171   0.000224
  2.5   -0.012654   0.002038   -0.008077   0.001187   -0.002603   0.000625
  7.5   0.021394   0.009333   0.015401   0.004233   0.008496   0.003667
 12.5   0.002002   0.004350   -0.003636   0.002664   -0.008942   0.001601
 17.5   0.020109   0.004491   0.011550   0.003735   0.005849   0.002443
 22.5   0.001195   0.003034   0.006549   0.002577   0.000019   0.001956
 27.5   0.024118   0.003444   -0.000557   0.002468   0.000744   0.002128
 32.5   0.364106   0.006687   0.027858   0.003152   -0.000069   0.002198
 37.5   0.149220   0.005191   0.226386   0.005377   0.021945   0.002816
 42.5   0.133314   0.005153   0.087365   0.004191   0.139343   0.004428
 47.5   0.150214   0.005379   0.076380   0.004213   0.064943   0.003623
 52.5   0.219379   0.005912   0.103182   0.004575   0.059159   0.003708
 57.5   0.317465   0.006614   0.141997   0.005010   0.068534   0.003883
 62.5   0.372554   0.006970   0.212135   0.005627   0.087432   0.004234
 67.5   0.365125   0.006926   0.273804   0.006151   0.118069   0.004561
 72.5   0.286282   0.006422   0.310347   0.006410   0.161557   0.005020
 77.5   0.212596   0.005823   0.279820   0.006161   0.227694   0.005591
 82.5   0.147638   0.005328   0.228845   0.005768   0.256653   0.005855
 87.5   0.110887   0.003822   0.164942   0.004857   0.233736   0.004361
 92.5   0.075367   0.003426   0.118924   0.004528   0.179837   0.004058
 97.5   0.057628   0.003086   0.084156   0.003426   0.140707   0.003660
102.5   0.044273   0.002876   0.065904   0.003007   0.100014   0.003221
107.5   0.042400   0.002692   0.051056   0.002790   0.071864   0.002983
112.5   0.025317   0.002404   0.037622   0.002583   0.050609   0.002724
117.5   0.020558   0.003324   0.031548   0.002419   0.041985   0.002592
122.5   0.017831   0.003027   0.024268   0.002249   0.032107   0.002429
127.5   0.020030   0.002893   0.018432   0.003116   0.029124   0.003450
132.5   0.011150   0.002559   0.011205   0.002853   0.023894   0.003232
137.5   0.010232   0.002425   0.012027   0.002654   0.013350   0.002941
142.5   0.011494   0.002301   0.014028   0.002588   0.013245   0.002393
147.5   0.004721   0.002088   0.012592   0.002370   0.014940   0.002156
152.5   0.006865   0.001682   0.010389   0.001794   0.012464   0.001900
157.5   0.004223   0.001531   0.006163   0.001570   0.008415   0.001763
162.5   0.007676   0.001564   0.007403   0.001509   0.008579   0.001681
167.5   0.004966   0.001335   0.004927   0.001366   0.007897   0.001578
172.5   0.005625   0.001283   0.004829   0.001313   0.006420   0.001462
177.5   0.003545   0.001219   0.005269   0.001252   0.005032   0.001361
182.5   0.004290   0.001219   0.006099   0.001212   0.009810   0.001382
187.5   0.005424   0.001356   0.006356   0.001206   0.006039   0.001258
192.5   0.005253   0.001387   0.007140   0.001215   0.003690   0.001199
197.5   0.006509   0.001738   0.004673   0.001743   0.005622   0.001243
202.5   0.008328   0.002134   0.005415   0.001436   0.004500   0.001655
207.5   0.009935   0.002214   0.010144   0.001619   0.002188   0.001453
212.5   0.007187   0.002268   0.009507   0.001874   0.008257   0.001827
217.5   0.008355   0.002470   0.010249   0.001929   0.007033   0.001812
222.5   0.008411   0.002719   0.009228   0.001850   0.008593   0.001829
227.5   0.009842   0.002917   0.017053   0.002114   0.005952   0.001668
232.5   0.017382   0.003552   0.015588   0.002090   0.009937   0.001825
237.5   0.012842   0.004231   0.017085   0.002208   0.013212   0.001932
242.5   0.010398   0.004901   0.015600   0.002289   0.011028   0.001851
247.5   -          -          0.011492   0.002471   0.009763   0.001890
252.5   -          -          -          -          0.010085   0.002193
257.5   -          -          -          -          0.014252   0.002247
262.5   -          -          -          -          -          -       
267.5   -          -          -          -          -          -       
272.5   -          -          -          -          -          -       
277.5   -          -          -          -          -          -       
282.5   -          -          -          -          -          -       
287.5   -          -          -          -          -          -       
292.5   -          -          -          -          -          -       
297.5   -          -          -          -          -          -       
302.5   -          -          -          -          -          -       
307.5   -          -          -          -          -          -       
312.5   -          -          -          -          -          -       
317.5   -          -          -          -          -          -       
322.5   -          -          -          -          -          -       
327.5   -          -          -          -          -          -       
332.5   -          -          -          -          -          -       
337.5   -          -          -          -          -          -       
342.5   -          -          -          -          -          -       
347.5   -          -          -          -          -          -       
352.5   -          -          -          -          -          -       
357.5   -          -          -          -          -          -       
