# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=425MeV/c            q=450MeV/c            q=475MeV/c            
#Omega  C.S.      Stat. Err.  C.S.      Stat. Err.  C.S.      Stat. Err. 
-37.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.5   0.000049   0.000049   0.000000   0.000000   0.000000   0.000000
-27.5   0.000161   0.000093   0.000000   0.000000   0.000000   0.000000
-22.5   0.000146   0.000084   0.000101   0.000072   0.000000   0.000000
-17.5   0.000097   0.000069   0.000050   0.000050   0.000053   0.000053
-12.5   0.000198   0.000099   0.000053   0.000053   0.000104   0.000074
 -7.5   0.000295   0.000121   0.000364   0.000138   0.000428   0.000151
 -2.5   0.000648   0.000180   0.000421   0.000149   0.000158   0.000091
  2.5   0.002589   0.000359   0.001347   0.000264   0.000516   0.000163
  7.5   0.123813   0.002488   0.060491   0.001765   0.018821   0.001000
 12.5   0.038542   0.001384   0.042722   0.001477   0.036117   0.001377
 17.5   0.044403   0.001483   0.028107   0.001194   0.022077   0.001073
 22.5   0.032079   0.001259   0.019414   0.000990   0.014073   0.000852
 27.5   0.047239   0.001523   0.025444   0.001132   0.014445   0.000862
 32.5   0.047890   0.001528   0.032497   0.001276   0.021815   0.001059
 37.5   0.065983   0.001786   0.038410   0.001389   0.025226   0.001138
 42.5   0.068090   0.001807   0.047192   0.001536   0.028203   0.001198
 47.5   0.078594   0.001934   0.052726   0.001621   0.035141   0.001334
 52.5   0.093481   0.002103   0.064476   0.001787   0.037143   0.001367
 57.5   0.105587   0.002231   0.069512   0.001850   0.043332   0.001474
 62.5   0.119119   0.002363   0.079836   0.001972   0.050975   0.001597
 67.5   0.130316   0.002465   0.092667   0.002111   0.062332   0.001363
 72.5   0.140080   0.002546   0.102021   0.002204   0.069050   0.001421
 77.5   0.144828   0.002578   0.109649   0.001738   0.077583   0.001488
 82.5   0.155815   0.002661   0.116614   0.001784   0.086245   0.001563
 87.5   0.162655   0.002072   0.126124   0.001849   0.091826   0.001606
 92.5   0.168669   0.002108   0.131176   0.001878   0.097778   0.001652
 97.5   0.168209   0.002091   0.134769   0.001899   0.105706   0.001710
102.5   0.169981   0.002093   0.142885   0.001952   0.106478   0.001708
107.5   0.168718   0.002073   0.141117   0.001935   0.112551   0.001661
112.5   0.160269   0.002007   0.143221   0.001942   0.117038   0.001647
117.5   0.152352   0.001946   0.138249   0.001895   0.114910   0.001620
122.5   0.148206   0.001913   0.134226   0.001858   0.115928   0.001488
127.5   0.147933   0.002940   0.136912   0.002887   0.115887   0.001480
132.5   0.138621   0.002835   0.131076   0.002814   0.114095   0.001473
137.5   0.134252   0.002088   0.128144   0.001980   0.111353   0.001424
142.5   0.124958   0.002130   0.125383   0.001899   0.110303   0.001430
147.5   0.112546   0.002183   0.119472   0.001847   0.110563   0.001801
152.5   0.102170   0.001742   0.110055   0.001754   0.109863   0.001787
157.5   0.092020   0.001567   0.100879   0.001672   0.102036   0.001715
162.5   0.081581   0.001465   0.094289   0.001609   0.098166   0.001674
167.5   0.077126   0.001416   0.085911   0.001528   0.091723   0.001609
172.5   0.067202   0.001313   0.080117   0.001467   0.084337   0.001534
177.5   0.060110   0.001233   0.069659   0.001360   0.080216   0.001486
182.5   0.053237   0.001153   0.065838   0.001314   0.073669   0.001416
187.5   0.050456   0.001117   0.055990   0.001202   0.067130   0.001344
192.5   0.044631   0.001051   0.053244   0.001164   0.058587   0.001249
197.5   0.042914   0.001186   0.050069   0.001131   0.053525   0.001187
202.5   0.038460   0.001025   0.044015   0.001064   0.050589   0.001154
207.5   0.037325   0.001121   0.043423   0.001145   0.045344   0.001098
212.5   0.036316   0.001267   0.040650   0.001251   0.043879   0.001147
217.5   0.035842   0.001248   0.037569   0.001311   0.044078   0.001456
222.5   0.033058   0.001180   0.034770   0.001169   0.038414   0.001178
227.5   0.032547   0.001115   0.034621   0.001129   0.036694   0.001092
232.5   0.031485   0.001105   0.033568   0.001061   0.034023   0.001019
237.5   0.033443   0.000988   0.034146   0.001020   0.035012   0.001082
242.5   0.032837   0.000961   0.032384   0.000955   0.030706   0.000944
247.5   0.035350   0.000990   0.031423   0.000928   0.031512   0.000947
252.5   0.035687   0.001013   0.032097   0.000941   0.031466   0.000941
257.5   0.039527   0.001462   0.033037   0.000995   0.030512   0.000933
262.5   0.041127   0.001723   0.032663   0.001199   0.029557   0.000935
267.5   0.043284   0.001761   0.035461   0.001558   0.029777   0.001106
272.5   0.040417   0.001692   0.038173   0.001658   0.030152   0.001259
277.5   0.049503   0.001841   0.039171   0.001663   0.033135   0.001567
282.5   0.047842   0.001798   0.039708   0.001656   0.036099   0.001622
287.5   0.049659   0.001815   0.041348   0.001673   0.035222   0.001592
292.5   0.054752   0.001886   0.040520   0.001643   0.037627   0.001628
297.5   0.052686   0.001826   0.042939   0.001678   0.037368   0.001601
302.5   0.054882   0.001851   0.047881   0.001757   0.040217   0.001636
307.5   0.058875   0.001908   0.047375   0.001729   0.039890   0.001615
312.5   0.055671   0.001853   0.049314   0.001746   0.040500   0.001613
317.5   0.057648   0.001891   0.051484   0.001771   0.041084   0.001613
322.5   0.062065   0.002027   0.048906   0.001711   0.043273   0.001640
327.5   0.061374   0.002261   0.053844   0.001828   0.043471   0.001633
332.5   0.060855   0.003794   0.056340   0.002007   0.045347   0.001686
337.5   -          -          -          -          -          -       
342.5   -          -          -          -          -          -       
347.5   -          -          -          -          -          -       
352.5   -          -          -          -          -          -       
357.5   -          -          -          -          -          -       
