# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=425MeV/c            q=450MeV/c            q=475MeV/c            
#Omega  C.S.      Stat. Err.  C.S.      Stat. Err.  C.S.      Stat. Err. 
-37.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.5   -0.000025   0.000025   0.000000   0.000000   0.000000   0.000000
-27.5   0.000016   0.000108   0.000000   0.000000   0.000000   0.000000
-22.5   0.000128   0.000148   -0.000051   0.000036   0.000101   0.000101
-17.5   0.000044   0.000099   0.000078   0.000106   -0.000026   0.000026
-12.5   -0.000003   0.000109   -0.000026   0.000026   -0.000052   0.000037
 -7.5   -0.000051   0.000114   -0.000182   0.000069   -0.000214   0.000076
 -2.5   -0.000221   0.000137   -0.000011   0.000160   -0.000079   0.000046
  2.5   -0.000416   0.000344   -0.000154   0.000267   -0.000258   0.000082
  7.5   0.004439   0.002852   0.002468   0.002034   -0.001903   0.001022
 12.5   -0.005911   0.001343   -0.000752   0.001625   0.004165   0.001675
 17.5   0.001154   0.001686   -0.001416   0.001279   0.001903   0.001281
 22.5   0.001584   0.001461   -0.001511   0.001032   -0.001390   0.000873
 27.5   -0.001044   0.001670   0.003290   0.001387   -0.000682   0.000925
 32.5   0.000568   0.001721   0.000860   0.001453   0.002058   0.001267
 37.5   -0.000787   0.001976   0.000402   0.001557   0.000980   0.001305
 42.5   0.015747   0.002364   -0.001645   0.001662   0.002257   0.001418
 47.5   0.084457   0.003562   0.004989   0.001939   -0.000539   0.001471
 52.5   0.037645   0.003009   0.051175   0.003000   0.000368   0.001535
 57.5   0.034220   0.003067   0.041435   0.002884   0.024839   0.002276
 62.5   0.043264   0.003313   0.022703   0.002657   0.024716   0.002369
 67.5   0.052778   0.003528   0.023663   0.002802   0.013738   0.001719
 72.5   0.071266   0.003828   0.029549   0.002979   0.018595   0.001839
 77.5   0.103500   0.004211   0.047491   0.002456   0.018169   0.001895
 82.5   0.140266   0.004641   0.064473   0.002680   0.025020   0.002054
 87.5   0.183118   0.004654   0.094573   0.002972   0.038704   0.002249
 92.5   0.207295   0.003919   0.119515   0.003187   0.054613   0.002460
 97.5   0.181241   0.003736   0.149045   0.003416   0.068166   0.002637
102.5   0.157453   0.003572   0.164957   0.003553   0.096935   0.002900
107.5   0.115204   0.003256   0.160176   0.003507   0.113796   0.003014
112.5   0.086019   0.002971   0.129015   0.003282   0.134025   0.003170
117.5   0.062025   0.002714   0.105923   0.003071   0.140518   0.003086
122.5   0.046995   0.002547   0.077699   0.002797   0.115175   0.002788
127.5   0.034968   0.003612   0.060325   0.003935   0.094712   0.002522
132.5   0.031609   0.003462   0.043729   0.003637   0.067958   0.002276
137.5   0.026555   0.002613   0.034465   0.002681   0.053764   0.002138
142.5   0.019370   0.002448   0.029108   0.002560   0.042653   0.002037
147.5   0.014635   0.002333   0.026720   0.002471   0.035734   0.002529
152.5   0.011895   0.002088   0.016400   0.002253   0.022868   0.002358
157.5   0.009289   0.001931   0.016044   0.002146   0.024373   0.002305
162.5   0.010456   0.001843   0.012189   0.002018   0.014494   0.002135
167.5   0.009413   0.001771   0.013693   0.001959   0.013780   0.002049
172.5   0.009031   0.001651   0.010602   0.001848   0.011374   0.001934
177.5   0.007026   0.001541   0.011007   0.001746   0.011705   0.001888
182.5   0.010839   0.001518   0.007449   0.001636   0.006945   0.001742
187.5   0.005289   0.001379   0.009089   0.001550   0.009228   0.001696
192.5   0.005531   0.001310   0.006959   0.001464   0.010278   0.001613
197.5   0.005710   0.001358   0.003639   0.001360   0.007762   0.001510
202.5   0.004099   0.001222   0.005328   0.001315   0.008313   0.001475
207.5   0.005097   0.001314   0.003562   0.001321   0.006422   0.001374
212.5   0.005165   0.001779   0.005004   0.001459   0.004615   0.001363
217.5   0.006685   0.001806   0.002070   0.001729   0.003800   0.001963
222.5   0.006414   0.001728   0.006197   0.001808   0.004343   0.001836
227.5   0.006155   0.001695   0.009255   0.001887   0.003123   0.001745
232.5   0.009289   0.001757   0.006312   0.001753   0.006130   0.001778
237.5   0.008041   0.001730   0.002424   0.001613   0.003105   0.001700
242.5   0.007209   0.001661   0.007583   0.001731   0.007732   0.001764
247.5   0.007695   0.001726   0.010186   0.001782   0.004869   0.001648
252.5   0.010210   0.001840   0.008765   0.001735   0.005554   0.001660
257.5   0.010669   0.002312   0.009288   0.001837   0.007039   0.001680
262.5   -          -          0.006873   0.001847   0.003931   0.001542
267.5   -          -          0.002015   0.003605   0.005738   0.001731
272.5   -          -          -          -          0.006996   0.002556
277.5   -          -          -          -          -          -       
282.5   -          -          -          -          -          -       
287.5   -          -          -          -          -          -       
292.5   -          -          -          -          -          -       
297.5   -          -          -          -          -          -       
302.5   -          -          -          -          -          -       
307.5   -          -          -          -          -          -       
312.5   -          -          -          -          -          -       
317.5   -          -          -          -          -          -       
322.5   -          -          -          -          -          -       
327.5   -          -          -          -          -          -       
332.5   -          -          -          -          -          -       
337.5   -          -          -          -          -          -       
342.5   -          -          -          -          -          -       
347.5   -          -          -          -          -          -       
352.5   -          -          -          -          -          -       
357.5   -          -          -          -          -          -       
