# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=500MeV/c            q=525MeV/c            q=550MeV/c            
#Omega  C.S.      Stat. Err.  C.S.      Stat. Err.  C.S.      Stat. Err. 
-37.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.5   0.000000   0.000000   0.000000   0.000000   0.000178   0.000178
-22.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-17.5   0.000000   0.000000   0.000166   0.000166   0.000000   0.000000
-12.5   0.000170   0.000170   0.000000   0.000000   0.000183   0.000183
 -7.5   0.000350   0.000248   0.000385   0.000273   0.000186   0.000186
 -2.5   0.000169   0.000169   0.000000   0.000000   0.000371   0.000263
  2.5   0.002803   0.000701   0.003867   0.000845   0.005528   0.001010
  7.5   0.019333   0.001836   0.016525   0.001724   0.013077   0.001542
 12.5   0.022522   0.001976   0.016564   0.001719   0.009776   0.001331
 17.5   0.024180   0.002044   0.016099   0.001699   0.010334   0.001369
 22.5   0.029148   0.002236   0.020887   0.001932   0.012708   0.001520
 27.5   0.032889   0.002375   0.020911   0.001927   0.016645   0.001736
 32.5   0.035237   0.002450   0.028532   0.002243   0.016486   0.001720
 37.5   0.042814   0.002699   0.034222   0.002447   0.021536   0.001967
 42.5   0.048234   0.002849   0.034481   0.002433   0.024285   0.001558
 47.5   0.054415   0.003011   0.043376   0.002718   0.025003   0.001591
 52.5   0.064201   0.003265   0.047288   0.002827   0.029469   0.001692
 57.5   0.072892   0.003465   0.048816   0.002145   0.033647   0.001805
 62.5   0.084878   0.002798   0.051037   0.002184   0.040123   0.001972
 67.5   0.091492   0.002896   0.061470   0.002392   0.044365   0.002073
 72.5   0.101569   0.003048   0.073560   0.002619   0.049992   0.002199
 77.5   0.114862   0.003225   0.081240   0.002747   0.052429   0.002245
 82.5   0.131858   0.003439   0.082384   0.002759   0.066996   0.002531
 87.5   0.135512   0.003483   0.098666   0.003015   0.066842   0.002525
 92.5   0.153912   0.003703   0.107584   0.003142   0.079168   0.002745
 97.5   0.159071   0.003752   0.116033   0.003256   0.083366   0.002808
102.5   0.166327   0.003818   0.126513   0.003388   0.084662   0.002826
107.5   0.177830   0.003634   0.136175   0.003051   0.092576   0.002478
112.5   0.185831   0.003426   0.139031   0.003319   0.099166   0.002538
117.5   0.191598   0.003572   0.141315   0.003001   0.110090   0.002866
122.5   0.217384   0.003640   0.145110   0.003039   0.106725   0.002617
127.5   0.221123   0.003642   0.162698   0.003156   0.121206   0.002779
132.5   0.205112   0.003495   0.169067   0.003207   0.120522   0.002763
137.5   0.192852   0.003374   0.174456   0.003253   0.127566   0.002837
142.5   0.196676   0.003421   0.173204   0.003234   0.134405   0.002907
147.5   0.187038   0.004218   0.164806   0.004031   0.144448   0.003016
152.5   0.188766   0.004218   0.164017   0.004008   0.144629   0.003030
157.5   0.182783   0.004130   0.166963   0.004028   0.138524   0.003000
162.5   0.182696   0.004108   0.157297   0.003894   0.138943   0.003095
167.5   0.174986   0.004007   0.160018   0.003909   0.137439   0.003697
172.5   0.163248   0.003859   0.156774   0.003847   0.137748   0.003684
177.5   0.160146   0.003807   0.146379   0.003697   0.133340   0.003612
182.5   0.149637   0.003657   0.137721   0.003567   0.135059   0.003619
187.5   0.144491   0.003572   0.142620   0.003607   0.131566   0.003557
192.5   0.134281   0.003418   0.134057   0.003480   0.118005   0.003357
197.5   0.129385   0.003332   0.123545   0.003326   0.116403   0.003318
202.5   0.115195   0.003126   0.122958   0.003306   0.118166   0.003326
207.5   0.102621   0.002946   0.113560   0.003164   0.116977   0.003291
212.5   0.098868   0.002899   0.108059   0.003079   0.110565   0.003186
217.5   0.095754   0.002912   0.098747   0.002958   0.104086   0.003088
222.5   0.088745   0.002936   0.091129   0.002891   0.097067   0.003005
227.5   0.085080   0.003279   0.091327   0.003125   0.093999   0.003014
232.5   0.085953   0.003733   0.088774   0.003211   0.085843   0.002951
237.5   0.082182   0.003606   0.082225   0.003733   0.089705   0.003995
242.5   0.072962   0.003375   0.081160   0.003669   0.087685   0.003922
247.5   0.069424   0.003260   0.073797   0.003469   0.079735   0.003701
252.5   0.067567   0.003187   0.076018   0.003497   0.074634   0.003553
257.5   0.063880   0.003083   0.064169   0.003198   0.070005   0.003427
262.5   0.064695   0.003102   0.066175   0.003244   0.070417   0.003431
267.5   0.064867   0.003165   0.064240   0.003194   0.066283   0.003328
272.5   0.062365   0.003417   0.061675   0.003162   0.063253   0.003275
277.5   0.058995   0.003530   0.061152   0.003338   0.059423   0.003245
282.5   0.056757   0.004031   0.062570   0.003876   0.055779   0.003388
287.5   -          -          -          -          -          -       
292.5   -          -          -          -          -          -       
297.5   -          -          -          -          -          -       
302.5   -          -          -          -          -          -       
307.5   -          -          -          -          -          -       
312.5   -          -          -          -          -          -       
317.5   -          -          -          -          -          -       
322.5   -          -          -          -          -          -       
327.5   -          -          -          -          -          -       
332.5   -          -          -          -          -          -       
337.5   -          -          -          -          -          -       
342.5   -          -          -          -          -          -       
347.5   -          -          -          -          -          -       
352.5   -          -          -          -          -          -       
357.5   -          -          -          -          -          -       
