# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=575MeV/c            q=600MeV/c            q=625MeV/c            
#Omega  C.S.      Stat. Err.  C.S.      Stat. Err.  C.S.      Stat. Err. 
-37.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-17.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-12.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 -7.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 -2.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  2.5   0.004489   0.001833   0.002312   0.001335   0.001562   0.001104
  7.5   0.005201   0.001966   0.004622   0.001887   0.003220   0.001610
 12.5   0.008252   0.002489   0.002303   0.001329   0.006461   0.002284
 17.5   0.011266   0.002909   0.009167   0.002647   0.003236   0.001618
 22.5   0.006788   0.002263   0.008429   0.002542   0.001862   0.000952
 27.5   0.012794   0.003104   0.010737   0.002871   0.002477   0.001111
 32.5   0.018073   0.003690   0.010734   0.002870   0.009504   0.002144
 37.5   0.032886   0.004959   0.013696   0.002544   0.008659   0.002047
 42.5   0.028382   0.003589   0.018038   0.002895   0.010389   0.002245
 47.5   0.023012   0.003222   0.022766   0.003237   0.014273   0.002629
 52.5   0.034207   0.003906   0.025664   0.003438   0.018943   0.003034
 57.5   0.038325   0.004134   0.025916   0.003436   0.014880   0.002691
 62.5   0.041306   0.004288   0.025333   0.003404   0.023093   0.003334
 67.5   0.050861   0.004754   0.030666   0.003743   0.024515   0.003449
 72.5   0.058042   0.005053   0.027701   0.003560   0.017251   0.002554
 77.5   0.055602   0.004934   0.048057   0.004689   0.022705   0.002819
 82.5   0.052042   0.004759   0.043571   0.004458   0.027566   0.003039
 87.5   0.072622   0.005148   0.051925   0.004463   0.029741   0.003208
 92.5   0.080593   0.005321   0.046612   0.004078   0.033537   0.003343
 97.5   0.090256   0.005408   0.056298   0.004255   0.042178   0.003845
102.5   0.080906   0.005019   0.063470   0.004499   0.045173   0.003863
107.5   0.093155   0.005287   0.066718   0.004588   0.047001   0.003992
112.5   0.105671   0.005619   0.069689   0.004691   0.063549   0.004587
117.5   0.108265   0.005654   0.073714   0.004813   0.055280   0.004281
122.5   0.113671   0.005771   0.086969   0.005212   0.058936   0.004431
127.5   0.113752   0.005761   0.089455   0.005266   0.071760   0.004874
132.5   0.132793   0.006215   0.091727   0.005324   0.075990   0.005017
137.5   0.131101   0.006171   0.100921   0.005568   0.076580   0.005027
142.5   0.118188   0.005879   0.106890   0.005727   0.074323   0.004952
147.5   0.139119   0.006392   0.109566   0.005804   0.081607   0.005193
152.5   0.137069   0.006340   0.109468   0.005816   0.087785   0.005382
157.5   0.156811   0.006843   0.111928   0.005949   0.087332   0.005381
162.5   0.135847   0.006525   0.120747   0.006236   0.097117   0.005745
167.5   0.133542   0.006612   0.120980   0.006401   0.091601   0.005670
172.5   0.146885   0.008446   0.126012   0.006745   0.101997   0.006048
177.5   0.162832   0.008859   0.120708   0.007853   0.101692   0.006341
182.5   0.152166   0.008522   0.130715   0.008147   0.094594   0.007128
187.5   0.151672   0.008480   0.130717   0.008129   0.103507   0.007476
192.5   0.146879   0.008320   0.130787   0.008119   0.119475   0.008045
197.5   0.156294   0.008562   0.155127   0.008814   0.115704   0.007931
202.5   0.142852   0.008165   0.132555   0.008132   0.122296   0.008160
207.5   0.143142   0.008137   0.118276   0.007655   0.116272   0.007928
212.5   0.119829   0.007413   0.128783   0.007962   0.103055   0.007461
217.5   0.118006   0.007345   0.129198   0.007939   0.110077   0.007683
222.5   0.117034   0.007321   0.124761   0.007831   0.116297   0.007886
227.5   0.115908   0.007344   0.119945   0.007698   0.106937   0.007563
232.5   0.120299   0.007552   0.117643   0.007769   0.108604   0.007669
237.5   0.113176   0.009743   0.117029   0.007903   0.107982   0.007753
242.5   0.108406   0.009473   0.113739   0.010057   0.113951   0.007982
247.5   0.119668   0.009906   0.102426   0.009514   0.097007   0.007566
252.5   0.093907   0.008721   0.091395   0.008965   0.093123   0.009508
257.5   0.096821   0.008804   0.099479   0.009360   0.094753   0.009576
262.5   0.094205   0.008603   0.089321   0.008846   0.078346   0.008712
267.5   0.093421   0.008571   0.103975   0.009495   0.077113   0.008627
272.5   0.082197   0.008137   0.079128   0.008259   0.093453   0.009494
277.5   0.081872   0.008143   0.100666   0.009387   0.095487   0.009553
282.5   0.092446   0.008853   0.082578   0.008616   0.079784   0.008786
287.5   -          -          -          -          -          -       
292.5   -          -          -          -          -          -       
297.5   -          -          -          -          -          -       
302.5   -          -          -          -          -          -       
307.5   -          -          -          -          -          -       
312.5   -          -          -          -          -          -       
317.5   -          -          -          -          -          -       
322.5   -          -          -          -          -          -       
327.5   -          -          -          -          -          -       
332.5   -          -          -          -          -          -       
337.5   -          -          -          -          -          -       
342.5   -          -          -          -          -          -       
347.5   -          -          -          -          -          -       
352.5   -          -          -          -          -          -       
357.5   -          -          -          -          -          -       
