# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=350MeV/c            q=375MeV/c            q=400MeV/c            
#Omega  C.S.      Stat. Err.  C.S.      Stat. Err.  C.S.      Stat. Err. 
-37.5   0.000000   0.000000   0.000000   0.000000   0.000051   0.000036
-32.5   0.000063   0.000063   0.000000   0.000000   0.000000   0.000000
-27.5   0.000078   0.000045   0.000251   0.000122   -0.000094   0.000147
-22.5   -0.000014   0.000112   0.000204   0.000088   0.000072   0.000041
-17.5   0.000628   0.000235   0.000734   0.000214   -0.000005   0.000209
-12.5   0.001024   0.000291   0.000435   0.000299   -0.000197   0.000248
 -7.5   0.000956   0.000315   0.000538   0.000339   0.000227   0.000328
 -2.5   0.002131   0.000590   0.000954   0.000396   0.000737   0.000301
  2.5   0.018059   0.002127   0.010751   0.001264   0.003814   0.000691
  7.5   0.010605   0.011350   -0.007404   0.004299   -0.004525   0.003706
 12.5   0.272615   0.008324   0.083909   0.003578   0.024512   0.001916
 17.5   0.302149   0.007421   0.159184   0.005072   0.070152   0.003377
 22.5   0.217778   0.004906   0.119654   0.003908   0.063930   0.002884
 27.5   0.195383   0.005150   0.105078   0.003624   0.057722   0.002936
 32.5   0.188957   0.009022   0.121157   0.004463   0.062654   0.003033
 37.5   0.233814   0.007227   0.145214   0.007323   0.080633   0.003883
 42.5   0.252187   0.007202   0.165070   0.005855   0.106402   0.006053
 47.5   0.290229   0.007591   0.193922   0.005966   0.112578   0.005037
 52.5   0.306805   0.008308   0.213364   0.006469   0.132164   0.005184
 57.5   0.297988   0.009124   0.222867   0.007012   0.147421   0.005459
 62.5   0.304417   0.009571   0.227865   0.007785   0.164323   0.005912
 67.5   0.303174   0.009496   0.234594   0.008432   0.188552   0.006434
 72.5   0.299346   0.008834   0.251206   0.008808   0.204721   0.007044
 77.5   0.299676   0.008122   0.252295   0.008495   0.189201   0.007672
 82.5   0.279178   0.007411   0.234697   0.007920   0.193803   0.007993
 87.5   0.231719   0.005231   0.233691   0.006726   0.190788   0.005993
 92.5   0.207504   0.004648   0.215804   0.006294   0.194017   0.005483
 97.5   0.180823   0.004299   0.197323   0.005759   0.177206   0.004965
102.5   0.157235   0.003868   0.172848   0.004140   0.173013   0.004453
107.5   0.119419   0.003624   0.143871   0.003772   0.163252   0.004118
112.5   0.113040   0.003205   0.123838   0.003459   0.143670   0.003745
117.5   0.097760   0.004385   0.107978   0.003225   0.124367   0.003512
122.5   0.078932   0.003965   0.090317   0.002972   0.108075   0.003260
127.5   0.061903   0.003723   0.081638   0.004077   0.094059   0.004571
132.5   0.057990   0.003333   0.070386   0.003702   0.083402   0.004262
137.5   0.045820   0.003086   0.061337   0.003465   0.074577   0.003857
142.5   0.042983   0.002966   0.051522   0.003332   0.064563   0.002992
147.5   0.036339   0.002641   0.038484   0.003000   0.053702   0.002711
152.5   0.035005   0.002146   0.038331   0.002239   0.044372   0.002389
157.5   0.033844   0.001935   0.038375   0.002088   0.044428   0.002259
162.5   0.025754   0.001920   0.031397   0.001893   0.037047   0.002580
167.5   0.026306   0.001767   0.029336   0.001755   0.032990   0.001978
172.5   0.025277   0.001643   0.026756   0.001662   0.030278   0.001838
177.5   0.026146   0.001579   0.022655   0.001566   0.026570   0.001704
182.5   0.022720   0.001551   0.019882   0.001514   0.019780   0.001700
187.5   0.021482   0.001670   0.019090   0.001503   0.022435   0.001588
192.5   0.023969   0.001901   0.018845   0.001521   0.023041   0.001516
197.5   0.021793   0.002187   0.022441   0.002164   0.019212   0.001538
202.5   0.025888   0.002672   0.021117   0.001989   0.021171   0.002131
207.5   0.026412   0.002788   0.020493   0.002062   0.022976   0.001864
212.5   0.027445   0.002844   0.021387   0.002313   0.017658   0.002222
217.5   0.032919   0.003149   0.024558   0.002403   0.020084   0.002222
222.5   0.030155   0.003371   0.027373   0.002361   0.019435   0.002242
227.5   0.032757   0.003677   0.020976   0.002590   0.025398   0.002150
232.5   0.033097   0.004502   0.023257   0.002582   0.020887   0.002259
237.5   0.044621   0.005367   0.027649   0.002757   0.017432   0.002339
242.5   0.044758   0.006261   0.029876   0.002888   0.023575   0.002320
247.5   -          -          0.038029   0.006077   0.026460   0.002393
252.5   -          -          -          -          0.026728   0.002736
257.5   -          -          -          -          0.020994   0.002973
262.5   -          -          -          -          -          -       
267.5   -          -          -          -          -          -       
272.5   -          -          -          -          -          -       
277.5   -          -          -          -          -          -       
282.5   -          -          -          -          -          -       
287.5   -          -          -          -          -          -       
292.5   -          -          -          -          -          -       
297.5   -          -          -          -          -          -       
302.5   -          -          -          -          -          -       
307.5   -          -          -          -          -          -       
312.5   -          -          -          -          -          -       
317.5   -          -          -          -          -          -       
322.5   -          -          -          -          -          -       
327.5   -          -          -          -          -          -       
332.5   -          -          -          -          -          -       
337.5   -          -          -          -          -          -       
342.5   -          -          -          -          -          -       
347.5   -          -          -          -          -          -       
352.5   -          -          -          -          -          -       
357.5   -          -          -          -          -          -       
