# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=350MeV/c            q=375MeV/c            q=400MeV/c            
#Omega  C.S.      Stat. Err.  C.S.      Stat. Err.  C.S.      Stat. Err. 
-37.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.5   0.000000   0.000000   0.000000   0.000000   0.000618   0.000618
-27.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-17.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-12.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 -7.5   0.007112   0.003660   0.000000   0.000000   0.000630   0.000630
 -2.5   0.153095   0.022670   0.017228   0.003530   0.024496   0.003980
  2.5   0.606727   0.020305   0.212243   0.011794   0.217771   0.011732
  7.5   0.421620   0.016326   0.296254   0.015233   0.199099   0.011280
 12.5   0.471565   0.016826   0.300943   0.013511   0.180172   0.010583
 17.5   0.512135   0.017887   0.318732   0.013938   0.196893   0.011044
 22.5   0.547898   0.018135   0.358694   0.014614   0.207295   0.011312
 27.5   0.534897   0.017651   0.376593   0.014903   0.257773   0.012595
 32.5   0.554430   0.017947   0.385121   0.015006   0.249739   0.012382
 37.5   0.567651   0.018094   0.404162   0.015345   0.288025   0.013260
 42.5   0.587464   0.018358   0.462760   0.016395   0.338471   0.014357
 47.5   0.622939   0.018842   0.452084   0.016190   0.364033   0.014852
 52.5   0.673564   0.019500   0.510160   0.017200   0.378667   0.015101
 57.5   0.673057   0.019411   0.563171   0.018058   0.427619   0.015984
 62.5   0.659821   0.019157   0.538569   0.017627   0.403817   0.015466
 67.5   0.705232   0.019747   0.544222   0.017672   0.426324   0.015836
 72.5   0.704801   0.019697   0.562279   0.017886   0.421287   0.015693
 77.5   0.627132   0.018530   0.576788   0.018004   0.434339   0.015874
 82.5   0.676649   0.019175   0.541040   0.017350   0.472942   0.016500
 87.5   0.594514   0.014720   0.540813   0.015616   0.454585   0.012650
 92.5   0.557879   0.013984   0.525957   0.013390   0.446980   0.012688
 97.5   0.512781   0.013967   0.481018   0.013682   0.467362   0.012687
102.5   0.485170   0.014108   0.436974   0.012020   0.452396   0.012428
107.5   0.411726   0.011488   0.429688   0.011810   0.394411   0.011541
112.5   0.379229   0.011115   0.393399   0.011283   0.400065   0.011573
117.5   0.363753   0.017026   0.358605   0.010808   0.363685   0.011009
122.5   0.309887   0.015580   0.337318   0.010598   0.327590   0.010464
127.5   0.276216   0.014626   0.326982   0.016171   0.362847   0.017523
132.5   0.272747   0.014441   0.276998   0.014809   0.308420   0.016039
137.5   0.217712   0.012789   0.270097   0.014566   0.287212   0.015358
142.5   0.220433   0.012818   0.218989   0.013044   0.273541   0.010747
147.5   0.180310   0.011548   0.221506   0.013056   0.240210   0.009765
152.5   0.177041   0.008697   0.195595   0.008736   0.217558   0.009151
157.5   0.159305   0.008008   0.166517   0.008797   0.210929   0.008931
162.5   0.132619   0.006917   0.169374   0.008004   0.175730   0.008135
167.5   0.133273   0.006882   0.146957   0.007162   0.176139   0.008039
172.5   0.113651   0.006321   0.136179   0.006860   0.142576   0.007178
177.5   0.115894   0.006511   0.140336   0.006926   0.150039   0.007305
182.5   0.109526   0.006265   0.111723   0.006144   0.126596   0.006666
187.5   0.115757   0.006950   0.101206   0.005852   0.118941   0.006425
192.5   0.089122   0.006067   0.092848   0.005633   0.107174   0.006182
197.5   0.119285   0.008616   0.089820   0.005698   0.114096   0.006408
202.5   0.123472   0.009634   0.109995   0.006905   0.088698   0.005768
207.5   0.102856   0.009018   0.086572   0.005969   0.111593   0.008080
212.5   0.138342   0.010780   0.109132   0.008049   0.092714   0.007547
217.5   0.125624   0.010792   0.113428   0.008148   0.095640   0.007612
222.5   0.140916   0.011982   0.103897   0.007792   0.104790   0.007901
227.5   0.165247   0.013962   0.108118   0.007956   0.120255   0.008382
232.5   0.170114   0.015779   0.108220   0.007964   0.092003   0.007254
237.5   0.200728   0.019490   0.107272   0.008032   0.106334   0.007759
242.5   0.174710   0.021166   0.130861   0.009485   0.100699   0.007632
247.5   -          -          0.121230   0.016091   0.097949   0.007807
252.5   -          -          -          -          0.104649   0.008589
257.5   -          -          -          -          0.122964   0.021290
262.5   -          -          -          -          -          -       
267.5   -          -          -          -          -          -       
272.5   -          -          -          -          -          -       
277.5   -          -          -          -          -          -       
282.5   -          -          -          -          -          -       
287.5   -          -          -          -          -          -       
292.5   -          -          -          -          -          -       
297.5   -          -          -          -          -          -       
302.5   -          -          -          -          -          -       
307.5   -          -          -          -          -          -       
312.5   -          -          -          -          -          -       
317.5   -          -          -          -          -          -       
322.5   -          -          -          -          -          -       
327.5   -          -          -          -          -          -       
332.5   -          -          -          -          -          -       
337.5   -          -          -          -          -          -       
342.5   -          -          -          -          -          -       
347.5   -          -          -          -          -          -       
352.5   -          -          -          -          -          -       
357.5   -          -          -          -          -          -       
