# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=350MeV/c            q=375MeV/c            q=400MeV/c            
#Omega  C.S.      Stat. Err.  C.S.      Stat. Err.  C.S.      Stat. Err. 
-37.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.5   0.000499   0.000499   0.000000   0.000000   0.000000   0.000000
-27.5   0.000000   0.000000   0.000000   0.000000   0.000559   0.000559
-22.5   0.001317   0.000931   0.000643   0.000643   0.000000   0.000000
-17.5   0.000671   0.000671   0.001595   0.000921   0.000000   0.000000
-12.5   0.001171   0.000838   0.000518   0.000518   0.000535   0.000535
 -7.5   0.007124   0.002517   0.000584   0.000584   0.001652   0.000954
 -2.5   0.317684   0.014382   0.102859   0.008414   0.150621   0.009379
  2.5   0.673160   0.021301   0.342332   0.016770   0.267224   0.012198
  7.5   0.545186   0.018601   0.318396   0.013137   0.185389   0.010121
 12.5   0.590057   0.017992   0.345688   0.013610   0.221723   0.011036
 17.5   0.635857   0.019165   0.398339   0.014545   0.277938   0.012324
 22.5   0.616794   0.017861   0.422976   0.014906   0.266638   0.012051
 27.5   0.663768   0.018498   0.483679   0.015851   0.320662   0.013184
 32.5   0.733967   0.019407   0.513150   0.016275   0.335589   0.013460
 37.5   0.742628   0.019460   0.502710   0.016074   0.372211   0.014154
 42.5   0.765483   0.019713   0.541722   0.016669   0.407442   0.014796
 47.5   0.828967   0.020414   0.583874   0.017292   0.421600   0.015015
 52.5   0.850108   0.020595   0.653274   0.018280   0.462373   0.015682
 57.5   0.846312   0.020454   0.693691   0.018817   0.490594   0.016075
 62.5   0.823947   0.020112   0.706705   0.018970   0.537891   0.016765
 67.5   0.868156   0.020586   0.731115   0.019256   0.547483   0.016862
 72.5   0.846626   0.020288   0.708804   0.018867   0.590471   0.017433
 77.5   0.806737   0.019751   0.715028   0.018827   0.612644   0.017708
 82.5   0.777136   0.019287   0.662612   0.018029   0.589905   0.017305
 87.5   0.715632   0.015215   0.663246   0.014318   0.608025   0.013845
 92.5   0.683994   0.015401   0.645676   0.014886   0.602540   0.013722
 97.5   0.627437   0.014463   0.595440   0.013352   0.569106   0.013249
102.5   0.555360   0.012685   0.554597   0.012812   0.540583   0.012856
107.5   0.497671   0.011972   0.513499   0.012246   0.521712   0.012564
112.5   0.475751   0.011713   0.487188   0.011881   0.503351   0.012292
117.5   0.475656   0.018717   0.455230   0.011502   0.457004   0.011682
122.5   0.421597   0.017461   0.423164   0.011234   0.438887   0.011476
127.5   0.322698   0.015174   0.362880   0.016352   0.411265   0.017908
132.5   0.326456   0.015149   0.355155   0.016120   0.356289   0.016549
137.5   0.310681   0.014689   0.328400   0.015439   0.349003   0.016246
142.5   0.272318   0.013677   0.292217   0.014475   0.336628   0.011287
147.5   0.208030   0.011922   0.263559   0.013673   0.283106   0.009940
152.5   0.217167   0.008885   0.245849   0.009235   0.268907   0.009479
157.5   0.199238   0.008054   0.217573   0.008356   0.247668   0.009113
162.5   0.186401   0.007827   0.197254   0.010211   0.225658   0.008971
167.5   0.172921   0.007480   0.175816   0.007311   0.200102   0.008010
172.5   0.150826   0.006829   0.163132   0.006992   0.198091   0.007878
177.5   0.145078   0.006692   0.153938   0.006748   0.168575   0.007212
182.5   0.133974   0.006507   0.146358   0.006527   0.162363   0.007030
187.5   0.132127   0.006574   0.144627   0.006553   0.144468   0.006574
192.5   0.133892   0.007846   0.130600   0.006406   0.140570   0.006477
197.5   0.129365   0.007366   0.134617   0.006651   0.124479   0.006167
202.5   0.146254   0.009541   0.130446   0.007214   0.120958   0.006479
207.5   0.136965   0.009490   0.158124   0.008295   0.123137   0.006882
212.5   0.147025   0.010178   0.131335   0.008014   0.128775   0.008084
217.5   0.160142   0.011099   0.138765   0.008228   0.116536   0.007640
222.5   0.152718   0.011368   0.126141   0.007833   0.126129   0.007873
227.5   0.194032   0.013859   0.146436   0.008408   0.123875   0.007716
232.5   0.225989   0.016777   0.141528   0.008292   0.118947   0.007498
237.5   0.216220   0.018670   0.141503   0.008426   0.126685   0.007690
242.5   0.255297   0.024157   0.143986   0.008804   0.124630   0.007706
247.5   -          -          0.163838   0.019511   0.118372   0.007639
252.5   -          -          -          -          0.130895   0.008518
257.5   -          -          -          -          0.102853   0.008578
262.5   -          -          -          -          -          -       
267.5   -          -          -          -          -          -       
272.5   -          -          -          -          -          -       
277.5   -          -          -          -          -          -       
282.5   -          -          -          -          -          -       
287.5   -          -          -          -          -          -       
292.5   -          -          -          -          -          -       
297.5   -          -          -          -          -          -       
302.5   -          -          -          -          -          -       
307.5   -          -          -          -          -          -       
312.5   -          -          -          -          -          -       
317.5   -          -          -          -          -          -       
322.5   -          -          -          -          -          -       
327.5   -          -          -          -          -          -       
332.5   -          -          -          -          -          -       
337.5   -          -          -          -          -          -       
342.5   -          -          -          -          -          -       
347.5   -          -          -          -          -          -       
352.5   -          -          -          -          -          -       
357.5   -          -          -          -          -          -       
