# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=500MeV/c            q=525MeV/c            q=550MeV/c            
#Omega  C.S.      Stat. Err.  C.S.      Stat. Err.  C.S.      Stat. Err. 
-37.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.5   0.000000   0.000000   0.000056   0.000056   0.000000   0.000000
-27.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-17.5   0.000107   0.000075   0.000112   0.000079   0.000000   0.000000
-12.5   0.000053   0.000053   0.000055   0.000055   0.000055   0.000055
 -7.5   0.000058   0.000058   0.000053   0.000053   0.000000   0.000000
 -2.5   0.000330   0.000135   0.000109   0.000077   0.000060   0.000060
  2.5   0.000107   0.000076   0.000331   0.000135   0.000000   0.000000
  7.5   0.004200   0.000476   0.001166   0.000255   0.000337   0.000138
 12.5   0.019354   0.001022   0.007559   0.000651   0.001806   0.000319
 17.5   0.027515   0.001217   0.022849   0.001126   0.018976   0.001036
 22.5   0.013352   0.000848   0.009959   0.000745   0.008600   0.000698
 27.5   0.010879   0.000764   0.011761   0.000807   0.010404   0.000765
 32.5   0.014915   0.000889   0.010801   0.000770   0.009516   0.000730
 37.5   0.018111   0.000976   0.014175   0.000877   0.011536   0.000802
 42.5   0.020625   0.001038   0.014497   0.000879   0.012890   0.000692
 47.5   0.022863   0.001089   0.016998   0.000951   0.013440   0.000673
 52.5   0.025227   0.001140   0.017047   0.000949   0.014746   0.000683
 57.5   0.030280   0.001244   0.022689   0.000846   0.017271   0.000742
 62.5   0.035288   0.001026   0.025266   0.000882   0.017948   0.000754
 67.5   0.042215   0.001121   0.027809   0.000918   0.020498   0.000804
 72.5   0.047735   0.001188   0.031418   0.000977   0.020291   0.000798
 77.5   0.053472   0.001253   0.035607   0.001037   0.023399   0.000856
 82.5   0.058670   0.001308   0.037242   0.001058   0.027205   0.000920
 87.5   0.066487   0.001389   0.045161   0.001161   0.030543   0.000974
 92.5   0.069417   0.001416   0.048945   0.001206   0.034787   0.001036
 97.5   0.077240   0.001488   0.053288   0.001257   0.037167   0.001068
102.5   0.080541   0.001512   0.056421   0.001289   0.040929   0.001117
107.5   0.084967   0.001389   0.061948   0.001155   0.046695   0.001042
112.5   0.089640   0.001390   0.064852   0.001146   0.048328   0.000999
117.5   0.090761   0.001361   0.072149   0.001195   0.051864   0.001030
122.5   0.092956   0.001334   0.069313   0.001167   0.052681   0.001034
127.5   0.097920   0.001363   0.073386   0.001197   0.055066   0.001072
132.5   0.096673   0.001482   0.078669   0.001234   0.057948   0.001079
137.5   0.095742   0.001341   0.077455   0.001221   0.060576   0.001101
142.5   0.094793   0.001337   0.079045   0.001234   0.061402   0.001108
147.5   0.100054   0.001748   0.081187   0.001603   0.063520   0.001132
152.5   0.093472   0.001682   0.086540   0.001649   0.063884   0.001141
157.5   0.097235   0.001707   0.081278   0.001592   0.065293   0.001174
162.5   0.092487   0.001656   0.081187   0.001585   0.069252   0.001293
167.5   0.088601   0.001615   0.080310   0.001568   0.069960   0.001494
