# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=350MeV/c            q=375MeV/c            q=400MeV/c            
#Omega  C.S.      Stat. Err.  C.S.      Stat. Err.  C.S.      Stat. Err. 
-37.5   0.000140   0.000140   0.000000   0.000000   0.000000   0.000000
-32.5   0.000140   0.000140   0.000146   0.000146   0.000148   0.000148
-27.5   0.000000   0.000000   0.000295   0.000209   0.000000   0.000000
-22.5   0.000297   0.000210   0.000475   0.000274   0.000312   0.000221
-17.5   0.000649   0.000327   0.000151   0.000151   0.000759   0.000339
-12.5   0.001045   0.000396   0.000641   0.000322   0.001096   0.000414
 -7.5   0.002328   0.000722   0.002765   0.000681   0.001104   0.000418
 -2.5   0.006982   0.001081   0.007792   0.001105   0.005251   0.000918
  2.5   0.198537   0.010041   0.240120   0.007072   0.198230   0.005598
  7.5   0.639119   0.017639   0.428376   0.008337   0.235708   0.006038
 12.5   0.394873   0.008007   0.250182   0.006589   0.137233   0.004603
 17.5   0.427302   0.012144   0.257402   0.006397   0.144695   0.004713
 22.5   0.451630   0.019289   0.269769   0.006325   0.167795   0.005062
 27.5   0.443302   0.008012   0.287689   0.006488   0.176726   0.005192
 32.5   0.463108   0.008179   0.301523   0.006628   0.197562   0.005476
 37.5   0.505159   0.008516   0.326163   0.006870   0.222104   0.005803
 42.5   0.529091   0.008685   0.356785   0.007174   0.243736   0.006063
 47.5   0.556782   0.008877   0.400293   0.007596   0.273573   0.006406
 52.5   0.582881   0.009055   0.411641   0.007697   0.305239   0.006756
 57.5   0.633307   0.009393   0.456146   0.008098   0.322425   0.006913
 62.5   0.728155   0.010031   0.472661   0.008227   0.323644   0.006901
 67.5   0.700025   0.009810   0.537330   0.008742   0.357447   0.007222
 72.5   0.608444   0.009126   0.599884   0.009209   0.370868   0.007337
 77.5   0.563870   0.008763   0.538715   0.008683   0.436855   0.007932
 82.5   0.559145   0.008693   0.486202   0.008196   0.479175   0.008272
 87.5   0.516665   0.006683   0.468875   0.006400   0.447061   0.005960
 92.5   0.486842   0.006074   0.431561   0.005728   0.397448   0.005590
 97.5   0.455160   0.006502   0.420950   0.005652   0.378972   0.005416
102.5   0.419468   0.006402   0.408147   0.005492   0.367770   0.005307
107.5   0.387266   0.005315   0.360331   0.005130   0.351906   0.005168
112.5   0.349130   0.005020   0.345464   0.005074   0.325020   0.004949
117.5   0.319551   0.007056   0.323473   0.004853   0.320673   0.004898
122.5   0.281658   0.006571   0.284410   0.004604   0.291931   0.004687
127.5   0.239862   0.006027   0.265224   0.006447   0.279735   0.006802
132.5   0.217479   0.005701   0.250106   0.006222   0.259490   0.006511
137.5   0.187876   0.005263   0.209059   0.005665   0.235749   0.006152
142.5   0.162667   0.004865   0.200896   0.005523   0.221895   0.004390
147.5   0.141296   0.004523   0.176515   0.005151   0.205788   0.004156
152.5   0.128727   0.004175   0.154438   0.003887   0.185261   0.004503
157.5   0.123685   0.003188   0.144790   0.004114   0.172449   0.003733
162.5   0.111039   0.003065   0.129477   0.003790   0.145880   0.003394
167.5   0.106684   0.003347   0.114841   0.002911   0.133465   0.003220
172.5   0.094267   0.002722   0.104030   0.002755   0.121991   0.003067
177.5   0.086622   0.002550   0.096426   0.002632   0.110783   0.002883
182.5   0.084827   0.002553   0.089882   0.002534   0.103002   0.002758
187.5   0.084866   0.002660   0.088400   0.002527   0.093215   0.002607
192.5   0.084440   0.002964   0.076371   0.002449   0.084063   0.002477
197.5   0.086464   0.003389   0.078485   0.002623   0.082929   0.002570
202.5   0.092060   0.003980   0.079865   0.002928   0.081483   0.002660
207.5   0.092974   0.004080   0.086325   0.003315   0.085839   0.003190
212.5   0.094886   0.004263   0.087867   0.003452   0.086796   0.003491
217.5   0.105348   0.004711   0.086638   0.003404   0.081183   0.003348
222.5   0.097870   0.004795   0.090075   0.003472   0.085867   0.003416
227.5   0.108645   0.005443   0.087607   0.003425   0.077935   0.003231
232.5   0.114195   0.006154   0.094637   0.003570   0.082782   0.003285
237.5   0.140314   0.007785   0.100332   0.003743   0.089042   0.003385
242.5   0.124548   0.008733   0.097940   0.003863   0.074711   0.003108
247.5   -          -          0.096873   0.004470   0.082825   0.003372
252.5   -          -          -          -          0.089713   0.004232
257.5   -          -          -          -          0.086941   0.004723
262.5   -          -          -          -          -          -       
267.5   -          -          -          -          -          -       
272.5   -          -          -          -          -          -       
277.5   -          -          -          -          -          -       
282.5   -          -          -          -          -          -       
287.5   -          -          -          -          -          -       
292.5   -          -          -          -          -          -       
297.5   -          -          -          -          -          -       
302.5   -          -          -          -          -          -       
307.5   -          -          -          -          -          -       
312.5   -          -          -          -          -          -       
317.5   -          -          -          -          -          -       
322.5   -          -          -          -          -          -       
327.5   -          -          -          -          -          -       
332.5   -          -          -          -          -          -       
337.5   -          -          -          -          -          -       
342.5   -          -          -          -          -          -       
347.5   -          -          -          -          -          -       
352.5   -          -          -          -          -          -       
357.5   -          -          -          -          -          -       
