# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=500MeV/c            q=525MeV/c            q=550MeV/c            
#Omega  C.S.      Stat. Err.  C.S.      Stat. Err.  C.S.      Stat. Err. 
-37.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-17.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-12.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 -7.5   0.001909   0.001102   0.000000   0.000000   0.000000   0.000000
 -2.5   0.021025   0.003608   0.009120   0.002438   0.003332   0.001491
  2.5   0.030266   0.004325   0.015471   0.003161   0.012992   0.002906
  7.5   0.031968   0.004435   0.015387   0.003142   0.012287   0.002819
 12.5   0.039269   0.004910   0.021874   0.003754   0.016162   0.003233
 17.5   0.057950   0.005979   0.031880   0.004511   0.017598   0.003388
 22.5   0.040528   0.004990   0.037929   0.004898   0.022551   0.003813
 27.5   0.076157   0.006813   0.045114   0.005358   0.036678   0.004859
 32.5   0.094194   0.007568   0.058820   0.006071   0.033365   0.004629
 37.5   0.074795   0.006719   0.048309   0.005473   0.034969   0.004718
 42.5   0.096714   0.007601   0.073259   0.006720   0.046381   0.004271
 47.5   0.113411   0.008210   0.082147   0.007047   0.054944   0.004620
 52.5   0.106571   0.007924   0.086452   0.007207   0.061343   0.004939
 57.5   0.142675   0.009137   0.093724   0.005921   0.070049   0.005219
 62.5   0.146624   0.007330   0.101920   0.006162   0.075570   0.005427
 67.5   0.155148   0.007537   0.128536   0.006913   0.080079   0.005583
 72.5   0.192217   0.008361   0.131778   0.007007   0.080958   0.005583
 77.5   0.198582   0.008472   0.137939   0.007147   0.105305   0.006353
 82.5   0.229432   0.009073   0.155301   0.007582   0.117541   0.006700
 87.5   0.241927   0.009293   0.177624   0.008095   0.125881   0.006925
